category,block,english,spanish,pronunciation,difficulty,notes
adult-rated,1,Take off your clothes,Quítate la ropa,KEE-ta-teh la RO-pa,beginner,
adult-rated,1,You are so sexy,Estás tan sexy,es-TAS tan SEK-see,beginner,
adult-rated,2,I want to undress you,Quiero desvestirte,KYEH-ro des-ves-TEER-teh,beginner,
adult-rated,2,Touch me here,Tócame aquí,TO-ka-meh a-KEE,beginner,
adult-rated,2,I love when you touch me,Me encanta cuando me tocas,meh en-KAN-ta KWAN-do meh TO-kas,beginner,
adult-rated,2,That feels so good,Eso se siente tan bien,EH-so seh SYEN-teh tan byen,beginner,
adult-rated,2,Do not stop,No pares,no PA-res,beginner,
adult-rated,2,I want more,Quiero más,KYEH-ro mas,beginner,
adult-rated,2,Harder,Más fuerte,mas FWER-teh,beginner,
adult-rated,2,Faster,Más rápido,mas RA-pee-do,beginner,
adult-rated,2,Slower,Más despacio,mas des-PA-syo,beginner,
adult-rated,2,Right there,Justo ahí,HOOS-to a-EE,beginner,
adult-rated,3,You feel amazing,Te sientes increíble,teh SYEN-tes een-kreh-EE-bleh,beginner,
adult-rated,3,I love your moans,Me encantan tus gemidos,meh en-KAN-tan toos heh-MEE-dos,intermediate,
adult-rated,3,You are so wet,Estás tan mojada,es-TAS tan mo-HA-da,beginner,
adult-rated,3,You are so hard,Estás tan duro,es-TAS tan DOO-ro,beginner,For men
adult-rated,3,I want to hear you,Quiero escucharte,KYEH-ro es-koo-CHAR-teh,beginner,
adult-rated,3,You are so tight,Eres tan estrecha,EH-res tan es-TREH-cha,beginner,
adult-rated,3,That is hot,Eso es caliente,EH-so es ka-LYEN-teh,beginner,
adult-rated,3,I love watching you,Me encanta mirarte,meh en-KAN-ta mee-RAR-teh,beginner,
adult-rated,3,Show me more,Muéstrame más,MWES-tra-meh mas,beginner,
adult-rated,3,You are incredible in bed,Eres increíble en la cama,EH-res een-kreh-EE-bleh en la KA-ma,intermediate,
adult-rated,4,I am going to come,Me voy a venir,meh voy a veh-NEER,beginner,
adult-rated,4,Come for me,Vente para mí,VEN-teh PA-ra mee,beginner,
adult-rated,4,I want to finish together,Quiero terminar juntos,KYEH-ro ter-mee-NAR HOON-tos,beginner,Use juntas if both female
adult-rated,4,I want to go down on you,Quiero bajarte,KYEH-ro ba-HAR-teh,beginner,Euphemism
adult-rated,4,Suck it,Chúpalo,CHOO-pa-lo,beginner,Use Chúpala for female anatomy
adult-rated,4,Lick me,Lámeme,LA-meh-meh,beginner,
adult-rated,4,Kiss me there,Bésame ahí,BEH-sa-meh a-EE,beginner,
adult-rated,4,Use your tongue,Usa tu lengua,OO-sa too LEN-gwa,beginner,
adult-rated,4,Bite me gently,Muérdeme suavemente,MWER-deh-meh swa-veh-MEN-teh,intermediate,
adult-rated,4,Pull my hair,Jala mi cabello,HA-la mee ka-BEH-yo,beginner,
adult-rated,5,Spank me,Nalgéame,nal-HEH-a-meh,beginner,
adult-rated,5,Get on top,Ponte encima,PON-teh en-SEE-ma,beginner,
adult-rated,5,Turn around,Date la vuelta,DA-teh la VWEL-ta,beginner,
adult-rated,5,On your knees,De rodillas,deh ro-DEE-yas,beginner,
adult-rated,5,Bend over,Agáchate,a-GA-cha-teh,beginner,
adult-rated,5,Spread your legs,Abre las piernas,A-breh las PYER-nas,beginner,
adult-rated,5,Take me deeper,Mételo más profundo,MEH-teh-lo mas pro-FOON-do,beginner,
adult-rated,5,I love how you taste,Me encanta tu sabor,meh en-KAN-ta too sa-BOR,beginner,
adult-rated,5,You are so good at this,Eres muy buena en esto,EH-res mwee BWEH-na en ES-to,beginner,Use bueno for men
adult-rated,5,Let us try a different position,Probemos otra posición,pro-BEH-mos O-tra po-see-SYON,beginner,
basics,1,Hello how are you,Hola cómo estás,O-la KO-mo es-TAS,beginner,
basics,1,My name is,Me llamo,meh YA-mo,beginner,
basics,1,Where are you from,De dónde eres,deh DON-deh EH-res,beginner,
basics,1,Nice to meet you,Mucho gusto,MOO-cho GOOS-to,beginner,
basics,1,How old are you,Cuántos años tienes,KWAN-tos A-nyos TYEH-nes,beginner,
basics,1,I am from the United States,Soy de Estados Unidos,soy deh es-TA-dos oo-NEE-dos,beginner,
basics,1,Do you speak English,Hablas inglés,A-blas een-GLES,beginner,
basics,1,I am learning Spanish,Estoy aprendiendo español,es-TOY a-pren-DYEN-do es-pa-NYOL,beginner,
basics,1,What do you do,A qué te dedicas,a keh teh deh-DEE-kas,beginner,
basics,1,Where do you live,Dónde vives,DON-deh VEE-ves,beginner,
basics,2,I do not understand,No entiendo,no en-TYEN-do,beginner,
basics,2,Can you repeat that,Puedes repetir eso,PWEH-des reh-peh-TEER EH-so,beginner,
basics,2,I am sorry,Lo siento,lo SYEN-to,beginner,
basics,2,Excuse me,Disculpa,dees-KOOL-pa,beginner,
basics,2,Thank you,Gracias,GRA-syas,beginner,
basics,2,You are welcome,De nada,deh NA-da,beginner,
basics,2,Yes,Sí,see,beginner,
basics,2,No,No,no,beginner,
basics,2,Maybe,Tal vez,tal vess,beginner,
basics,2,Please,Por favor,por fa-VOR,beginner,
basics,3,Good morning,Buenos días,BWEH-nos DEE-as,beginner,
basics,3,Good afternoon,Buenas tardes,BWEH-nas TAR-des,beginner,
basics,3,Good night,Buenas noches,BWEH-nas NO-ches,beginner,
basics,3,Goodbye,Adiós,a-DYOS,beginner,
basics,3,See you later,Hasta luego,AS-ta LWEH-go,beginner,
basics,3,See you tomorrow,Hasta mañana,AS-ta ma-NYA-na,beginner,
basics,3,How much does this cost,Cuánto cuesta esto,KWAN-to KWES-ta ES-to,beginner,
basics,3,Where is the bathroom,Dónde está el baño,DON-deh es-TA el BA-nyo,beginner,
basics,3,What time is it,Qué hora es,keh O-ra es,beginner,
basics,3,I like it,Me gusta,meh GOOS-ta,beginner,
basics,4,I do not like it,No me gusta,no meh GOOS-ta,beginner,
basics,4,I love it,Me encanta,meh en-KAN-ta,beginner,
basics,4,Can I have,Puedo tener,PWEH-do teh-NER,beginner,
basics,4,I need,Necesito,neh-seh-SEE-to,beginner,
basics,4,I want,Quiero,KYEH-ro,beginner,
basics,4,Help,Ayuda,a-YOO-da,beginner,
basics,4,Where is,Dónde está,DON-deh es-TA,beginner,
basics,4,How do you say,Cómo se dice,KO-mo seh DEE-seh,beginner,
basics,4,I am hungry,Tengo hambre,TEN-go AM-breh,beginner,
basics,4,I am thirsty,Tengo sed,TEN-go sed,beginner,
basics,5,I am tired,Estoy cansado,es-TOY kan-SA-do,beginner,Use cansada if female
basics,5,I am happy,Estoy feliz,es-TOY feh-LEES,beginner,
basics,5,I am sad,Estoy triste,es-TOY TREES-teh,beginner,
basics,5,It is hot,Hace calor,A-seh ka-LOR,beginner,
basics,5,It is cold,Hace frío,A-seh FREE-o,beginner,
basics,5,Today,Hoy,oy,beginner,
basics,5,Tomorrow,Mañana,ma-NYA-na,beginner,
basics,5,Yesterday,Ayer,a-YER,beginner,
basics,5,Now,Ahora,a-O-ra,beginner,
basics,5,Later,Más tarde,mas TAR-deh,beginner,
